['2018-10-28 23:45:21+00:00'],['قوووووووووول خامس لـ برشلونة من ارتورو فيدال و اسيست من عثمان ديمبيلي بـ الدقيقة 87 رأسية رائعة من الكينغ و المحارب فيدال و يسجل أول هدف له مع برشلونة في الكلاسيكو #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:19+00:00'],['هاتريك من لويس سواريز و أمام ريال مدريد مو معقول يا سواريز وين جماهير برشلونة اللي تقول عنه فاشل و ما منه فائدة و تكملة عدد هذا هو سواريز شالكم و رفعكم في المباراة في غياب ميسي #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:17+00:00'],['قوووووووووول رابع لـ برشلونة من سواريز و اسيست من سيرجي روبيرتو بـ الدقيقة 83 خطأ من راموس و افتكها سيرجيو روبيرتو و انفراد لـ لويس سواريز أمام كورتوا و سجل الهاتريك #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:13+00:00'],['#أسرة_شي_إن #تويته_عن_طقس_مدينتك #افضل_سناب_t #الاهلي_وفاق_سطيف #الدريس_يسيء_لمغردي_الوطن #برشلونه_ريال_مدريد #انعش_قلبك_بالذكر #الدريس_يسيء_لمغردي_الوووطن #السعودية #متعصب_هلالي_يقود_المسابقات #الديربي_الحايلي #امطار_المدينه #امطار_الرياض #أمطار_الرياض #اغلاق_قناه_الفتنه_الجزيرهpic.twitter.com/aoQ92tVq2G'],['SweeTana1616']
['2018-10-28 23:45:12+00:00'],['فعلها بيكيه... مرة أخرى.. #برشلونه_ريال_مدريد pic.twitter.com/p8cVbIH5yM'],['m_alkhameri11']
['2018-10-28 23:45:07+00:00'],['#برشلونه_ريال_مدريد دعوة مظلوم pic.twitter.com/aJKXacrz4T'],['abolezzam']
['2018-10-28 23:45:05+00:00'],['ناقد رياضي: هزيمة #ريال_مدريد من #برشلونة كارثة.. ولا يمكن الاعتماد على بنزيمة التفاصيل .. https://goo.gl/WkvqoA @baladtv @HHathout #الماتش #صدى_البلد #أمير_عبد_الحميد_في_الماتش'],['baladtv']
['2018-10-28 23:44:58+00:00'],['ناقد رياضي: هزيمة ريال مدريد من برشلونة كارثة.. ولا يمكن الاعتماد على بنزيمة https://goo.gl/WkvqoA #الماتش @HHathout @baladtv'],['baladtv']
['2018-10-28 23:44:32+00:00'],['ريال مدريد يستعد لإقالة لوبتيجى وهذا هو البديل http://masrzamanweb.com/y9hiqtnn12dm'],['Madrid4Evers']
['2018-10-28 23:44:13+00:00'],|['لمسات ارثر ميلو ضد ريال مدريد - اول كلاسيكو للبرازيلي الرائع |||| 2018 HD ||||:']|,['soccerlovers123']
['2018-10-28 23:44:08+00:00'],['لأول مرة منذ مايو 2009 نادي ريال مدريد يخسر ثلاث مباريات متتالية في الليغا pic.twitter.com/lgmRAPoukU'],['vipmadridi84']
['2018-10-28 23:44:06+00:00'],['الاس شوهد لوبيتيغي وحيدا عند وصوله إلى مطار مدريد، ووجوه لاعبي ريال مدريد عليها علامات الحزن والألم القاسي. pic.twitter.com/4PU2sNKEN8'],['BarcaArabNet']
['2018-10-28 23:44:04+00:00'],['سواريز لعب 9 مباريات بالكلاسيكو ومسجل 9 بنزيما لعب 18 مباراة مسجل 6 !! ناهيك عن ارقامه الفاضحه بالديربي اكبر قصه عجيبه بتاريخ كرة القدم هي استمراره كمهاجم وبدون حتى على الاقل منافس بنادي عظيم مثل ريال مدريد هرمنا والله'],['Ahmad_rm7']
['2018-10-28 23:43:56+00:00'],['والسنه دي متصدر باكتساح في الابطال علي مجموعه مش بسيطه بيكسب تمانيه في الدوري ميسي اتصاب في اهم فتره في السيزون وبيحقق انتصار كبير علي ريال مدريد وعايزينه يمشي ! نفسهم في الثلاثيه كل سيزون !'],['mohameddiab288']
['2018-10-28 23:43:42+00:00'],['#برشلونه_ريال_مدريد بهدله pic.twitter.com/GYrg3EwVBz'],['teem80199573']
['2018-10-28 23:43:25+00:00'],['برشلونة B يحتل المركز السادس بدوري الدرجة الثانية يعني افضل من مركز ريال مدريد بالليغا pic.twitter.com/5hyVERP9fU'],['BatainehFandi']
['2018-10-28 23:43:07+00:00'],['فى الاوقات السيئه قبل الاوقات السعيده ..ريال مدريد دائماً وابداً #هلا_مدريد'],['eashraf605']
['2018-10-28 23:43:07+00:00'],['#برشلونه_ريال_مدريد . الو ؟الدون افزع لنا هلمره بس نخيناك. الدون: عندي مييتنق الساعه 5.'],['ms_juj']
['2018-10-28 23:42:54+00:00'],['لو الفار موجود من بدايت التاريخ كان ما حدا عرف نادي اسمو ريال مدريد'],['AelGmaeu']
['2018-10-28 23:42:40+00:00'],['#عاجل حسب Onda Cero : خلال الساعات القادمة سيتم إقالة المدرب لوبتيغي وغداً سيعلن ريال مدريد عن تعين المدرب انطونيو كونتي pic.twitter.com/dqlPjlR1gb'],['vipmadridi84']
['2018-10-28 23:42:21+00:00'],['نتائج لما يقوم نادي باكمله على لاعب واحد ! #برشلونه_ريال_مدريد'],['Lb1mu9orsv9Vr0h']
['2018-10-28 23:42:14+00:00'],['I liked a @YouTube video http://youtu.be/wAyUQEK6T9M?a المدفع : الكلاسيكو برشلونة ريال مدريد (5-1) -'],['khalidelzahra']
['2018-10-28 23:42:13+00:00'],['هدف رائع سجله سواريز ضد ريال مدريد https://youtu.be/glwkRmVfnUw via @YouTube'],['TAHRIISMAIL2']
['2018-10-28 23:42:11+00:00'],['ملخص أهداف الكلاسيكو بعد فوز ساحق لنادي برشلونة ب 5 أهداف مقابل 1 على غريمه التقليدي ريال مدريد تقرير : Lhossin Chakir https://www.facebook.com/BifornaAgency.MainPage/videos/606742403074841/ …'],['BifornaAgency']
['2018-10-28 23:41:45+00:00'],['- خط وسط #برشلونة ضد ريال مدريد : •آرثر ميلو : 49 تمريرة بدقة 94% •ايفان راكيتيتش : 69 تمريرة بدقة 94% •سيرجيو بوسكيتس : 62 تمريرة بدقة 92% - #برشلونه_ريال_مدريد'],['Hamod95211Hamod']
['2018-10-28 23:41:42+00:00'],['ريال مدريد يسقط بالخمسه القاضيه من برشلونه ... وبرشلونه يقسوا عليه هو الاخر لينزله الى اسفل سافلين .. ليقبع في المركز الخامس بعد الخمسه الخماسيه المشهوره عذرا مدريد .. وهلا بالخمسه pic.twitter.com/6Gy8mO4ZVX'],['hadi1q2w3e4r5t']
['2018-10-28 23:41:29+00:00'],['#عاجل حسب Radioe stadio : غداً تقديم انطونيو كونتي مدرباً لنادي ريال مدريد pic.twitter.com/iCuum5F8DU'],['vipmadridi84']
['2018-10-28 23:41:28+00:00'],['"ما كان سكُوتي عن غيابك رِضا كنت أبكِي شوق،لكِن بالخّفا #افضل_سناب_t #الشباب_الاكثر_شعبيه #ريال_مدريد'],['hanadial68']
['2018-10-28 23:41:09+00:00'],['هلا فيك مبين هبوط مستوى فريق ريال مدريد هذا الموسم لكن ان شاءالله يرجع'],['mesharir2']
['2018-10-28 23:41:05+00:00'],['برشلونة يلعب وكانه في تمرين او في حديقته الخلفيه خماسية تاريخيه للبرشا ... عندما تقوم ببيع افضل لاعبينك يابيرتيز هذا ماتجنيه لم لدى الريال اي حلول . #برشلونه_ريال_مدريد'],['Walid__ali']
['2018-10-28 23:41:03+00:00'],['أذكى شخصين هنن كرستيانو رونالدو وزيدان عرفو ايمت يتركو ريال مدريد.'],['maheroo']
['2018-10-28 23:40:50+00:00'],['- كيفَ نجَوتَ مِن كُل هَذا الخَرَاب الذي حَدَث ؟ = كُنت اشاهِده مِن المَنزِل مِثلُك !! #برشلونه_ريال_مدريد pic.twitter.com/WtCLpCeJ7e'],['_AhmedRaouf']
['2018-10-28 23:40:49+00:00'],['اهتزت شباك ريال مدريد بخماسية للمرة الأولى، منذ الهزيمة أمام البرسا أيضًا بنتيجة (5-0) تحت قيادة جوزيه مورينيو في الليجا في نوفمبر عام 2010. - بلغ المعدل التهديفي لريال مدريد هذا الموسم 1.5 هدفا في كل مباراة،... https://www.facebook.com/100001867770772/posts/2347451195327117/ …'],['AbdallahHamed12']
