Date	Tweet	Username
['2018-10-28 23:11:57+00:00	افضل هداف في الكلاسيكو منذ موسم ٢٠١٤-٢٠١٥ ليس ميسي او كريستيانو بل لويس سواريز ب ٩ اهداف - لويس سواريز سجل هذا الموسم سبعه اهداف وصنع سته اهداف في 14 مباراه - لويس سواريز مع برشلونه سجل 162 هدفا وصنع 88 هدفا في 213 مباراه #برشلونه_ريال_مدريد	['za12ze12']
['2018-10-28 23:11:57+00:00	"[""J'ai ajouté une vidéo à une playlist @YouTube - اجمل مباراه في تاريخ الكلاسيكو برشلونه و ريال""]"	['belkhir_saber']
['2018-10-28 23:11:57+00:00	عجزت اعرف من تشجع...مره برشلونه..ومره القيصومه..ومره فريق حارتنا 	['k3kk555']
['2018-10-28 23:11:57+00:00	والله بعد الدون ريال مدريد تحت الاقدام	['Alisatt68458525']
['2018-10-28 23:11:57+00:00	خسروا ريال مدريد	['RAALAJMIII']
['2018-10-28 23:11:57+00:00	وبالعكس قبولك تيشرت برشلونه مايقلل منك هذل يدل علي روحك الرياضيه والمباريات فوز وخساره ولاتخلي مشجعين غير الانديه الاسبانيه يتدخلون بينا مهما كان	['al3nzeiq8i']
['2018-10-28 23:11:57+00:00	المصاءب تنهال علي ريال مدريد بعد الكلاسيكو 	['koorapress']
['2018-10-28 23:11:57+00:00	#مهو_تكبر_ولا_غرور_من_الله_هيبه #برشلونه #كلاسيكو #ريال_مدريد #فلسطين #القدس #عراقي_حزين #راب #الاسلام #وسيم_يوسف #محمد_عساف #اليوم #الماضي #نورالزين #سيف_نبيل #عيسي_المرزوق #كيكي… 	['mrmzuon23']
['2018-10-28 23:11:57+00:00	ملخص مباراه برشلونه وريال مدريد I الشوط الاول الكلاسيكو 2018 YouTube 	['elshafe37407165']
['2018-10-28 23:11:57+00:00	نهايه المباراه : برشلونه 5 - 1 ريال مدريد مبروووووك ل برشلونه و عشاق برشلونه الفوز في المباراه و هاردلك ل ريال مدريد #برشلونه_ريال_مدريد #ريال_مدريد_برشلونه #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الارض	['mahra6791']
['2018-10-28 23:11:57+00:00	الماتش ديال باريس ومارسيليا حسن من الكلاسيكو	['tayeb_bvb']
['2018-10-28 23:11:57+00:00	بعيدا عن #الكلاسيكو .. الفن يبقي الصوره الاهم .. بالتوفيق 	['samarismael4']
['2018-10-28 23:11:57+00:00	جدول الدوري الاسباني #ريال_مدريد في المركز التاسع بفارق 7 نقاط عن المتصدر #برشلونه 	['goooolmx']
['2018-10-28 23:11:57+00:00	الايام بتحكم بنظرتي في كونتي ونشوف .. مو شرط هالموسم بنشوف المواسم الجايه لان الدوري هالموسم ابتعد .. والابطال بهاللاعبين صعب جدا لكن تعاقداته بتفرق مع الفريق تماما ونشوف ريال مدريد قوي جدا	['hd_Semo']
['2018-10-28 23:11:57+00:00	#برشلونه_الريال ريال مدريد الاسباني ونادي الاتحاد السعودي صابتهم عين هههههههه مبروك للبرشا حبيب قلبي	['rashdywsf4']
['2018-10-28 23:11:57+00:00	مشكلتك الوحيده انك تحسبين اللي ينتقد برشلونه يقلل منه انتي مثل واحد اعرفه اجلس عنده انتقد بعض الامور اللي اشوفها ببرشلونه يقول تقلل ، كفاكم انتم والله ترا كريهين	['9KHA_']
['2018-10-28 23:11:57+00:00	"""شاهد رده و تعصب شاكيرا وهي تشاهد الكلاسيكو "" : "	['afarissi2018']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد لا تاسفن علي غدر الزمان لطالما رقصت علي جثث الاسود كلاب	['Sami99811']
['2018-10-28 23:11:57+00:00	صحيفه ماركا المدريديه تقولها علانيه: ريال مدريد في ازمه حقيقيه الان .. ليس بسبب الهزيمه الكبيره فقط ولكن لانهم في الحقيقه اقرب الي الهبوط منهم الي برشلونه صاحب الصداره. 	['BatainehFandi']
['2018-10-28 23:11:57+00:00	"عبدالله اشكناني: الف فوز في الكلاسيكو.. لا يعادل بطوله ""ابطال"" واحده #برشلونه_ريال_مدريد .. #ElClasico .. #كلاسيكو_الارض #ون_تو .. اشترك في #قناه_atv وفعل خاصيه التنبيه "	['atvkw']
['2018-10-28 23:11:57+00:00	الماركا : بعد الكلاسيكو لوبتيغي التقي باللاعبين وشكرهم علي ال ٤ شهور ونصف التي امضاها معهم. #الوداع	['omar_alshbrm']
['2018-10-28 23:11:57+00:00	الحريه جعلت ريال مدريد يخسر بالخمسه ،، الان حان وقت البحث عن النظام المفقود في مدريد	['Ali_almutairi']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد خبر عاجل:حارس مرمي الريال ينادي باسم سواريز اثناء نومه	['EslamsaadEs']
['2018-10-28 23:11:57+00:00	تتتتت#برشلونه_ريال_مدريد	['Andro86665241']
['2018-10-28 23:11:57+00:00	لاهو الي كسم الضحك بجد ان ليا واحد صاحبي بيقولي برشلونه ممله	['el_shorbagyy']
['2018-10-28 23:11:57+00:00	المدريدي قبل الكلاسيكو: انت يالبرشلوني تشوف برشلونه كله ميسي وماعندكم الا ميسي وتعتبرون ميسي الفريق كله. المدريدي بعد الكلاسيكو: وينك يارونالدو من بعدك مدريد ماله طعم وماراح اشجعه انا بشجع اليوفي.	['BANDAR___Q8']
['2018-10-28 23:11:57+00:00	ههههههههههه والله ما يفهم كوره والله برشلونه ماشيه معنا نفوز يوم دافعنا اليوم بغينا ننلقم هدفين	['1995YaZeeD']
['2018-10-28 23:11:57+00:00	علي ايه بس، الحقيقه وان كانت مءلمه بس لازم تتقال،برشلونه قدر يستغل وقوع مدريد ويعمل سكور هايفرق في معنويات لاعيبته ويكمل اسبوع مثالي برغم ان ناس كتير توقعت تعثره خصوصا بعد اصابه ميسي، لكن برشلونه يحسبله جدا انه بيعرف يستغل التفاصيل الصغيره اللي بتحسم الماتشات خصوصا ضد انتر	['Ma7moudAshour95']
['2018-10-28 23:11:57+00:00	كم افتقد الكلاسيكو لك ياصديقي في الليله العتماء افتقدنا البدر ريال مدريد يفتقدك ياصديقي انا افتقد يا معشوقي 	['MahmoudShahin74']
['2018-10-28 23:11:57+00:00	حالم بدجور خرابه ... نمیشه بازی رو دوباره برگزار کنن؟ #الكلاسيكو	['Mohamadb16']
['2018-10-28 23:11:57+00:00	#صالون_سيلينا_للتجميل كوني الاجمل في يوم زفافك، لتربحي احد عروض العروس ما عليكي سوي ان تقومي بمشاركه المنشور علي صفحتك ومنشن لصديقاتك #برشلونه_ريال_مدريد 	['hodakojan']
['2018-10-28 23:11:57+00:00	ضروري نستغل نتيجه الكلاسيكو ونطقطق حتي لو كان بغباء	['sir_hassan10']
['2018-10-28 23:11:57+00:00	كبار الكره السعوديه فهما من انجب ماجد والسومه وديجا وجوليانو وسوزا واحمد موسي وامرابط ودياز هما الكبيران بحق وحقيقه ان العالم العربي يترقب هذا الكلاسيكو الفخم المميز.. صراع علي قمه الصداره في الدوري السعودي..! بالتوفيق .. #كلاسيكو_السعوديه_نصر_اهلي	['Dr_fores']
['2018-10-28 23:11:57+00:00	اي ترقيع؟، سبق و تحدثت و انتقدت فالفيردي علي مباريات سابقه هذا لا يعني اني لا امدحه فيما قدمه في الكلاسيكو، ما قدمه سابقا شيء وما قدمه في الكلاسيكو شيء اخر ..	['Barccelonii']
['2018-10-28 23:11:57+00:00	هيدي مش الكامبنو هيدي القنصليه ..! #الكلاسيكو	['RanaAbdelkader8']
['2018-10-28 23:11:57+00:00	مايفسده الريال يزوده الاهلي ويوم مايعلم بيه الا ربنا.. #الاهلي_الوصل #برشلونه_ريال_مدريد	['Amouri_74']
['2018-10-28 23:11:57+00:00	مو الفريق الصعب لانه يعتمد علي لاعب واحد وفي ظل غياب هذا اللاعب تقل صلابه الفريق وقوته ، برشلونه لم يعد الفريق المخيف احترم فوزكم اليوم لكن صدقيني مدريد سيء مدريد سيء برشلونه مو قوي	['9KHA_']
['2018-10-28 23:11:57+00:00	الكلاسيكو والله بيكون ننننننار .	['iii_166']
['2018-10-28 23:11:57+00:00	ما هذا يا ريال مدريد 5 وبغياب ميسي 	['N8awaf']
['2018-10-28 23:11:57+00:00	نومكم سواريز مبجر اليوم #برشلونه_ريال_مدريد	['Alobaidli1234']
['2018-10-28 23:11:57+00:00	مقام ايه بس يا ابراهيم ده الريال لعب مع برشلونه في وجود رونالدو 30 ماتش فاز في8 بس وتعادل في 8 وخسر في 14	['ronquariz']
['2018-10-28 23:11:57+00:00	"فالدانو : "" كونتي مدرب يصنع منهحيه الفريق ، لكن في ريال مدريد هناك لاعبون احرار مثل بيل و ايسكو ، بيل يستمر تركيزه لسبع دقاءق ، ايسكو يلعب بشكل جيد لكن في المركز الذي يريده و لا اعلم ان كان سينجح الامر مع كونتي """	['ZoYaZenat']
['2018-10-28 23:11:57+00:00	علي فكره يا شبب بطل الكلاسيكو انهارده كان بنزيما ....ضيع كوره النهارده لو دخلت كانت تعادل و الموضوع اتغير خالص #شكرا_كريم	['salahyasser4']
['2018-10-28 23:11:57+00:00	يخوانا الكلاسيكو من غير ميسي نقصه حاجه برضه والله	['Abrahem7oda']
['2018-10-28 23:11:57+00:00	#ريال_مدريد هذا اسمه الفريق الملكي ريال مدريد فريق العاصمه مدريد وليس فريق ضواحي مثل برشلونه سيرجع الريال #ريال مدريد	['218_00005006']
['2018-10-28 23:11:57+00:00	للنوم بعد متعه اليوم من الكتلان #برشلونه_ريال_مدريد	['i6_9l']
['2018-10-28 23:11:57+00:00	سعر الدولار اليوم ريال مدريد و 25 قرش.. باهي الي ميسي مالعب راها ارقي	['JWGMWphuT2qD5Dl']
['2018-10-28 23:11:57+00:00	و قعد يقولك ريمونتادا و بتاع يا عم هم عارفين يمسكوا نفسهم علشان يعملوا ريمونتادا #الكلاسيكو #ElClásico #ForçaBarça #برشلونه_ريال_مدريد	['hobaaa_magdy']
['2018-10-28 23:11:57+00:00	هاتريك من لويس سواريز و امام ريال مدريد مو معقول يا سواريز وين جماهير برشلونه اللي تقول عنه فاشل و ما منه فاءده و تكمله عدد هذا هو سواريز شالكم و رفعكم في المباراه في غياب ميسي #برشلونه_ريال_مدريد #ريال_مدريد_برشلونه #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الارض	['mahra6791']
['2018-10-28 23:11:57+00:00	@AmirAbdElhalim شابو بجد ياامير محلل ممتاز واسلوبك ف تحليل الكلاسيكو راءع او اي مباراه اخره وعندك رايه مستقبليه جيدا كانت حلقه حلوه مع #حتحوت	['RodySayed76']
['2018-10-28 23:11:57+00:00	الكلاسيكو متعبك ياعيني	['MajedHasna1']
['2018-10-28 23:11:57+00:00	"خماسيه اخري في الكلاسيكو.. برشلونه يعمق جراح ريال مدريد في ""كامب نو"" "	['mudaqqeq']
['2018-10-28 23:11:57+00:00	اعتقد ان عثمان ديمبيلي بحاجه الي المباريات الكبيره لكي يعود ديمبلي الذي نعرفه بحاجه الي فرصه اكبر في مباراه كبيره.. تذكروا مباراه تشلسي الموسم الماضي في دوري الابطال في الكامبنوه وايضا مباراه اليوم كان متوازنا ومهاريا وحاسما فور نزوله.... #برشلونه_الريال #الكلاسيكو 	['ameeno1994']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد الرد الناري . للسفاح لويز سواريز .. علي جموع المدريديستا ...	['tarif_506']
['2018-10-28 23:11:57+00:00	مبروووك لعشاق المتعه برشلونه الفوز الكبير في الكلاسيكو بخماسيه تاريخيه #برشلونه_ريال_مدريد	['alsly10']
['2018-10-28 23:11:57+00:00	لمن فاتته مباراه البارحه. #برشلونه_ريال_مدريد 	['srbeoo']
['2018-10-28 23:11:57+00:00	الكلاسيكو الان علي بي ان سبورتس HD3 كل التوفيق لريال مدريد #HalaMadrid	['Liga4Arabia']
['2018-10-28 23:11:57+00:00	ارسنال اتعادل مع بالاس 2-2 ويونايتد كسب ايفرتون 2-1 وتشيلسي كسب بيرنلي 3-0 ريال مدريد كسب برشلونه 1-0	['MoYossry']
['2018-10-28 23:11:57+00:00	هاتريك من لويس سواريز و امام ريال مدريد مو معقول يا سواريز وين جماهير برشلونه اللي تقول عنه فاشل و ما منه فاءده و تكمله عدد هذا هو سواريز شالكم و رفعكم في المباراه في غياب ميسي #برشلونه_ريال_مدريد #ريال_مدريد_برشلونه #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الارض	['mahra6791']
['2018-10-28 23:11:57+00:00	برشلونه اليوم كان منظم ومتماسك واظهر صلابه كبيره جدا	['Faisalinho11']
['2018-10-28 23:11:57+00:00	اووووووله برشلونه فاز ٥	['Mutairi67i']
['2018-10-28 23:11:57+00:00	حنا اصلا بدون ميسي جبنا خمسه شلون لو ماهو مصاب كم تتوقعون النتيجه اما الريال يصيحون ذهب الصعب وليته موجود. يعني بقي @hsab_khere يبي يشوكها #برشلونه_ريال_مدريد	['sahoodshmr']
['2018-10-28 23:11:57+00:00	ملخص اهداف الكلاسيكو بعد فوز ساحق لنادي برشلونه ب 5 اهداف مقابل 1 علي غريمه التقليدي ريال مدريد تقرير : Lhossin Chakir 	['BifornaAgency']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد لا حول ولا قوه الا بالله .	['nawaf_alsahli2']
['2018-10-28 23:11:57+00:00	نقاط يجب التحذير منها: ١-عدم زياده السرعه فوق ٨٠/كيلومتربالساعه ٢-استغلال الشوارع الفاضيه ٣-الابتعاد عن اماكن الاستهتار ٤-تجنب برك المياه علي حواف الطريق ٥-برشلونه :١-ريال مدريد #برشلونه_ريال_مدريد	['hm___191']
